DegreeCentrality,EigenCentrality,Ages,HouseholdSize
0.009009009009009009,0.004228342901402199,0-9,2
0.015015015015015015,0.001868156039404531,0-9,2
0.015015015015015015,0.0020224396248493637,0-9,2
0.036036036036036036,0.012823718583636306,0-9,5
0.04104104104104104,0.005200698340715301,0-9,2
0.013013013013013013,0.0043859111906048515,0-9,2
0.03303303303303303,0.007541317122999303,0-9,2
0.024024024024024024,0.0029243350615179705,0-9,2
0.009009009009009009,0.000719984503016449,0-9,2
0.029029029029029027,0.0026920747543857093,0-9,2
0.02002002002002002,0.007415137340695622,0-9,4
0.008008008008008008,0.00293943294534393,0-9,4
0.012012012012012012,0.003471080052837384,0-9,4
0.018018018018018018,0.005385003620723144,0-9,4
0.018018018018018018,0.005044959063365803,0-9,3
0.009009009009009009,0.003284590776457005,0-9,3
0.01001001001001001,0.0030752467744481586,0-9,3
0.008008008008008008,0.002665976094775279,0-9,3
0.008008008008008008,0.0034672168765570274,0-9,4
0.012012012012012012,0.003242407889908635,0-9,4
0.004004004004004004,0.00024783465851896646,0-9,2
0.015015015015015015,0.001179153343861584,0-9,2
0.01001001001001001,0.001969792503143648,0-9,3
0.004004004004004004,0.0043696293151176315,0-9,3
0.012012012012012012,0.004023146841678803,0-9,5
0.012012012012012012,0.002817915916559634,0-9,3
0.011011011011011011,0.0012733122267711632,0-9,3
0.007007007007007007,0.0007878755240349764,0-9,2
0.07007007007007007,0.006013521057561513,0-9,6
0.014014014014014014,0.0032537222366635058,0-9,6
0.009009009009009009,0.002256207986269353,0-9,5
0.011011011011011011,0.001082787323495436,0-9,3
0.009009009009009009,0.0010304094536005342,0-9,3
0.007007007007007007,0.00260903633962953,0-9,4
0.006006006006006006,0.001237177107535177,0-9,3
0.008008008008008008,0.0017742441926516528,0-9,3
0.007007007007007007,0.002391966535075496,0-9,4
0.01001001001001001,0.0011445845153167738,0-9,2
0.003003003003003003,0.0008568859356926003,0-9,2
0.006006006006006006,0.0006049937014852528,0-9,2
0.003003003003003003,0.0012229603943335404,0-9,2
0.008008008008008008,0.0008628703325815792,0-9,2
0.007007007007007007,0.0007378195983431404,0-9,2
0.003003003003003003,0.0004317352356610523,0-9,2
0.009009009009009009,0.0030523366912049384,0-9,4
0.004004004004004004,0.0008514836957154115,0-9,2
0.006006006006006006,0.0008289024443516789,0-9,3
0.01001001001001001,0.002015968598709395,0-9,4
0.007007007007007007,0.0010187214616563308,0-9,4
0.013013013013013013,0.0014772445758292215,0-9,4
0.012012012012012012,0.002230173272558309,0-9,5
0.008008008008008008,0.0013031170922270208,0-9,3
0.006006006006006006,0.00023416740953778676,0-9,3
0.006006006006006006,0.0005270701483178453,0-9,3
0.011011011011011011,0.0013132234131179117,0-9,2
0.009009009009009009,0.0011772126616519537,0-9,2
0.007007007007007007,0.0007211808117048782,0-9,2
0.005005005005005005,0.0003418703694032881,0-9,2
0.005005005005005005,0.0008788858625274111,0-9,2
0.007007007007007007,0.0006481578582201545,0-9,2
0.009009009009009009,0.0012817973763254932,0-9,2
0.006006006006006006,0.0006444526951624687,0-9,5
0.006006006006006006,0.0007619773803018101,0-9,5
0.006006006006006006,0.001345852089434514,0-9,5
0.008008008008008008,0.0008129364248602992,0-9,2
0.005005005005005005,0.00034037100960926674,0-9,2
0.006006006006006006,0.0003296614163800028,0-9,3
0.006006006006006006,0.0003988998552179544,0-9,3
0.005005005005005005,0.0007735939165654579,0-9,4
0.02702702702702703,0.0015940674081395807,0-9,4
0.006006006006006006,0.0014297558693348892,0-9,3
0.005005005005005005,0.0006044315282697854,0-9,3
0.005005005005005005,0.0003907717595022696,0-9,2
0.002002002002002002,2.0183126683384113e-05,0-9,2
0.007007007007007007,0.00043131195832559946,0-9,2
0.007007007007007007,0.0004739252854398957,0-9,6
0.006006006006006006,0.0004954497472404403,0-9,3
0.004004004004004004,0.0002695123930066798,0-9,4
0.004004004004004004,0.00026951239300667887,0-9,4
0.005005005005005005,0.0005174326297890283,0-9,3
0.004004004004004004,3.5313622580272925e-05,0-9,3
0.001001001001001001,0.00020146572301106837,0-9,2
0.008008008008008008,0.0012301587417762043,0-9,6
0.002002002002002002,5.1125871351274586e-06,0-9,2
0.003003003003003003,5.205996545495775e-05,0-9,2
0.002002002002002002,0.00018732985374794918,0-9,2
0.002002002002002002,4.02042667446914e-05,0-9,2
0.003003003003003003,8.844059473553233e-05,0-9,2
0.004004004004004004,0.0002372879460233537,0-9,4
0.008008008008008008,0.00029655105912182195,0-9,2
0.004004004004004004,0.00014374230083306832,0-9,3
0.003003003003003003,4.5976559194595165e-05,0-9,2
0.002002002002002002,0.0004448049587374575,0-9,2
0.006006006006006006,0.00016603742351042544,0-9,6
0.003003003003003003,7.264270418006548e-05,0-9,3
0.006006006006006006,0.00011651259063128116,0-9,3
0.005005005005005005,0.00017368882962966417,0-9,4
0.005005005005005005,0.00014710287761128443,0-9,3
0.005005005005005005,0.00025724513686264716,0-9,3
0.004004004004004004,0.00024853331023717205,0-9,3
0.005005005005005005,0.0002584408944297036,0-9,4
0.005005005005005005,0.00012992642122893464,0-9,4
0.004004004004004004,6.872386062456017e-05,0-9,4
0.004004004004004004,0.00012097544474429041,0-9,4
0.005005005005005005,0.00021755989219757223,0-9,4
0.002002002002002002,5.485696638661583e-05,0-9,2
0.002002002002002002,3.450327678383387e-05,0-9,2
0.002002002002002002,2.093510239813854e-05,0-9,2
0.004004004004004004,0.00025896160179309603,0-9,2
0.005005005005005005,0.00010995127044435881,0-9,4
0.006006006006006006,0.00012634279285089823,0-9,4
0.01001001001001001,0.0001656887965515941,0-9,4
0.006006006006006006,0.0003363004942493738,0-9,4
0.002002002002002002,9.98760272726948e-06,0-9,2
0.002002002002002002,0.00016362309122858095,0-9,2
0.005005005005005005,6.919152055378374e-05,0-9,4
0.004004004004004004,6.908160885924004e-05,0-9,4
0.003003003003003003,1.7827509769920802e-05,0-9,3
0.003003003003003003,1.6669322785083505e-05,0-9,3
0.003003003003003003,2.884440169199221e-05,0-9,3
0.004004004004004004,0.00011934011740765977,0-9,3
0.002002002002002002,3.733927247294193e-06,0-9,2
0.002002002002002002,5.392377189607371e-05,0-9,2
0.002002002002002002,0.0001800032701408164,0-9,2
0.002002002002002002,0.0001315758062343294,0-9,2
0.05905905905905906,0.024340218134925536,10-19,4
0.03803803803803804,0.02500649035353671,10-19,7
0.04104104104104104,0.013337296878565594,10-19,2
0.04104104104104104,0.015482547395457536,10-19,3
0.04804804804804805,0.016341220182737096,10-19,3
0.043043043043043044,0.01498930116196567,10-19,2
0.04504504504504504,0.017352214005981217,10-19,4
0.05905905905905906,0.018955423922951565,10-19,4
0.05305305305305305,0.01868505238335287,10-19,4
0.043043043043043044,0.017209546972003435,10-19,4
0.05305305305305305,0.016551223268712573,10-19,4
0.03903903903903904,0.014679788154629898,10-19,2
0.03003003003003003,0.0120176327366029,10-19,3
0.02702702702702703,0.010698282987335037,10-19,4
0.04104104104104104,0.013858041777710741,10-19,4
0.03303303303303303,0.01424572918796641,10-19,3
0.02702702702702703,0.009593706037974424,10-19,2
0.03303303303303303,0.010158016839842195,10-19,2
0.029029029029029027,0.010845285102364434,10-19,3
0.018018018018018018,0.008163197175265481,10-19,3
0.035035035035035036,0.012181616471814937,10-19,3
0.029029029029029027,0.014324864656214924,10-19,7
0.023023023023023025,0.00877017935895088,10-19,2
0.02002002002002002,0.007833709021918685,10-19,3
0.05105105105105105,0.013971673131328226,10-19,3
0.023023023023023025,0.008092735125354331,10-19,2
0.015015015015015015,0.00684239939123336,10-19,2
0.022022022022022022,0.008626769429488356,10-19,2
0.017017017017017015,0.007278244665194979,10-19,2
0.02102102102102102,0.008608154741453383,10-19,6
0.013013013013013013,0.005557227511830898,10-19,5
0.014014014014014014,0.0053254070790915604,10-19,3
0.017017017017017015,0.008501506505702132,10-19,4
0.017017017017017015,0.006312191856051149,10-19,2
0.011011011011011011,0.005158110302756689,10-19,2
0.008008008008008008,0.0033029456624377855,10-19,2
0.011011011011011011,0.00508178131466966,10-19,2
0.014014014014014014,0.006437651663132452,10-19,2
0.011011011011011011,0.0046657553411837485,10-19,2
0.007007007007007007,0.0025166763260702683,10-19,2
0.012012012012012012,0.006897672517167585,10-19,4
0.04704704704704705,0.013614584364542997,10-19,3
0.009009009009009009,0.0033485918699919905,10-19,4
0.009009009009009009,0.0033927030410538118,10-19,4
0.008008008008008008,0.0027251109273161984,10-19,2
0.011011011011011011,0.004322125141350396,10-19,2
0.013013013013013013,0.004519061374699388,10-19,2
0.01001001001001001,0.002803632102758651,10-19,2
0.007007007007007007,0.003288175786846066,10-19,2
0.004004004004004004,0.0012933394835903404,10-19,2
0.02002002002002002,0.00671530239110169,10-19,5
0.011011011011011011,0.004050357858027665,10-19,3
0.005005005005005005,0.0017949954552526444,10-19,3
0.014014014014014014,0.006437292090011638,10-19,3
0.006006006006006006,0.0018389385687162117,10-19,2
0.009009009009009009,0.003647439283180256,10-19,2
0.009009009009009009,0.00243973846708947,10-19,2
0.01001001001001001,0.0028402752247045867,10-19,2
0.007007007007007007,0.0024717531495904535,10-19,2
